"","Name","Address","City","State","Zip","Phone_Number"
"1","ENGLISH ROSE BED & BREAKFAST","116 S TAYLOR ST","SOUTH BEND","IN","46601","(574) 232-0640"
"2","BTB CATER INC","1530 S MAIN ST","SOUTH BEND","IN","46613","(574) 807-8112"
"3","COLD STONE CREAMERY","1290 E IRELAND RD","SOUTH BEND","IN","46614","(574) 231-9863"
"4","GOWDY'S FISHERY","3307 W SAMPLE ST","SOUTH BEND","IN","46619","(574) 232-8858"
"5","SOUTH BEND PIZZA & DELI","1615 MIAMI ST","SOUTH BEND","IN","46613","(574) 234-3006"
"6","D.A.V. WHITE EAGLE POST #39","618 PULASKI ST","SOUTH BEND","IN","46619","(574) 237-9400"
"7","FRANKS FOR THE MEMORIES HOT DO","0 OUTSIDE CITY LIMITS","SOUTH BEND","IN","46601","(000) 000-0000"
"8","RICO'S FILLING STATION & GRILL","1841 SOUTH BEND AVE","SOUTH BEND","IN","46637-5637","(574) 299-8900"
"9","SANGRIAS WINE BAR","123 N MICHIGAN ST","SOUTH BEND","IN","46601","(574) 232-9463"
"10","ONE STOP #4","6301 US 31 S","SOUTH BEND","IN","46614","(574) 231-9671"
"11","J & W TASTE OF NEW ORLEANS","1212 BEYER AVE","SOUTH BEND","IN","46615-1110","(574) 289-9237"
"12","FIX COFFEE HOUSE/JOYFULL NOISE","2406 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 288-3499"
"13","GOLDEN GNOME","1902 SOUTH BEND AVE","SOUTH BEND","IN","46617","(574) 277-6651"
"14","AGAVE 53","119 N MICHIGAN ST","SOUTH BEND","IN","46601","(574) 232-9463"
"15","STARLITE PIZZA - DONT USE","932 E IRELAND RD","SOUTH BEND","IN","46614","(574) 291-5757"
"16","KILDARE'S NOTRE DAME","1044 E ANGELA BLVD","SOUTH BEND","IN","46617","(574) 251-0355"
"17","BRUNOS PIZZA","4505 AMERITECH DR","SOUTH BEND","IN","46628","(574) 247-9999"
"18","TACO BELL #3004041","3208 LINCOLN WAY W","SOUTH BEND","IN","46628-1451","(503) 722-2825"
"19","PORTAGE CAFE","1519 PORTAGE AVE","SOUTH BEND","IN","46617","(574) 288-2867"
"20","ALL OCCASIONS CATERING, INC","1430 N IRONWOOD DR","SOUTH BEND","IN","46635","(574) 274-3207"
"21","REGGIO'S EXPRESS","1631 EDISON RD","SOUTH BEND","IN","46637","(574) 271-6930"
"22","SOUTHERN STYLE COOKIN'","3314 PORTAGE AVE","SOUTH BEND","IN","46628","(574) 243-1500"
"23","SWEET FROG PREMIUM FROZEN YOGU","560 W IRELAND RD","SOUTH BEND","IN","46614","(574) 855-1120"
"24","WORLDS FAMOUS FRANKIE'S B-B-Q","1132 SOUTH BEND AVE","SOUTH BEND","IN","46617","(574) 303-6878"
"25","VEGETABLE BUDDIES INC.","129 N MICHIGAN ST","SOUTH BEND","IN","46601","(574) 232-0954"
"26","TEQUILAS RESTAURANT & BAR","2644 W WESTERN AVE","SOUTH BEND","IN","46619-3126","(574) 234-9810"
"27","NEW YORK BOYS PIZZA","910 E IRELAND RD","SOUTH BEND","IN","46614","(574) 217-7528"
"28","BURRITO CHULO","1740 SOUTH BEND AVE","SOUTH BEND","IN","46637","(269) 436-8136"
"29","SUBWAY OF SOUTH BEND III, INC","1110 E IRELAND RD","SOUTH BEND","IN","46614","(574) 291-0354"
"30","T & T ICE CREAM","1631 LINDEN AVE","SOUTH BEND","IN","46628","(574) 315-4041"
"31","BRYAN'S PIANO BARR","2410 MISHAWAKA AVE","SOUTH BEND","IN","46615","(574) 251-0542"
"32","STUDEBAGEL'S","1801 SOUTH BEND AVE","SOUTH BEND","IN","46637","(574) 277-4440"
"33","CRAIG'S SERVICE CENTER","5307 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 288-9110"
"34","COLFAX CAFE AND RESTAURANT","808 E COLFAX AVE","SOUTH BEND","IN","46617","(574) 234-9760"
"35","ANTONIO'S","2227 FRANKLIN ST","SOUTH BEND","IN","46613","(574) 233-6114"
"36","BUFFALO WILD WINGS / BW-3-DONT","123 W WASHINGTON ST","SOUTH BEND","IN","46601","(574) 232-2293"
"37","SHOWPLACE 16 - 8881","450 W CHIPPEWA AVE","SOUTH BEND","IN","46614","(574) 299-6060"
"38","TAQUERIA LOS GARCIAS-DO NOT US","1140 W WESTERN AVE","SOUTH BEND","IN","46619","(574) 217-7663"
"39","OH MAMMA'S ITALIAN DELI","1105 NORTHSIDE BLVD","SOUTH BEND","IN","46615","(574) 276-6918"
