Index,Name,Address,City,State,Zip,Phone_Number,Local or Chain 
1,ENGLISH ROSE BED & BREAKFAST,116 S TAYLOR ST,SOUTH BEND,IN,46601,(574) 232-0640,Local
2,BTB CATER INC,1530 S MAIN ST,SOUTH BEND,IN,46613,(574) 807-8112,Local
3,COLD STONE CREAMERY,1290 E IRELAND RD,SOUTH BEND,IN,46614,(574) 231-9863,Chain
4,GOWDY'S FISHERY,3307 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 232-8858,Local
5,SOUTH BEND PIZZA & DELI,1615 MIAMI ST,SOUTH BEND,IN,46613,(574) 234-3006,Local
6,D.A.V. WHITE EAGLE POST #39,618 PULASKI ST,SOUTH BEND,IN,46619,(574) 237-9400,Local
7,FRANKS FOR THE MEMORIES HOT DO,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(000) 000-0000,Local
8,RICO'S FILLING STATION & GRILL,1841 SOUTH BEND AVE,SOUTH BEND,IN,46637-5637,(574) 299-8900,Local
9,SANGRIAS WINE BAR,123 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 232-9463,Local
10,ONE STOP #4,6301 US 31 S,SOUTH BEND,IN,46614,(574) 231-9671,Local
11,J & W TASTE OF NEW ORLEANS,1212 BEYER AVE,SOUTH BEND,IN,46615-1110,(574) 289-9237,Local
12,FIX COFFEE HOUSE/JOYFULL NOISE,2406 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 288-3499,Local
13,GOLDEN GNOME,1902 SOUTH BEND AVE,SOUTH BEND,IN,46617,(574) 277-6651,Local
14,AGAVE 53,119 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 232-9463,Local
15,STARLITE PIZZA - DONT USE,932 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-5757,Local
16,KILDARE'S NOTRE DAME,1044 E ANGELA BLVD,SOUTH BEND,IN,46617,(574) 251-0355,Local
17,BRUNOS PIZZA,4505 AMERITECH DR,SOUTH BEND,IN,46628,(574) 247-9999,Local
18,TACO BELL #3004041,3208 LINCOLN WAY W,SOUTH BEND,IN,46628-1451,(503) 722-2825,Chain
19,PORTAGE CAFE,1519 PORTAGE AVE,SOUTH BEND,IN,46617,(574) 288-2867,Local
20,"ALL OCCASIONS CATERING, INC",1430 N IRONWOOD DR,SOUTH BEND,IN,46635,(574) 274-3207,Local
21,REGGIO'S EXPRESS,1631 EDISON RD,SOUTH BEND,IN,46637,(574) 271-6930,Local
